FID,Shape,OBJECTID,FIN,ACRES,SHORELINE_,WATER,SHAPE_AREA,SHAPE_LEN,POLY_AREA,PERIMETER
3,Polygon ZM,4,ONT-19-60-6-1-P5389,0.2,0.1,Unnamed Water,664.612005,97.49406,0.164229,97.49406
4,Polygon ZM,5,ONT-19-P477,1.3,0.2,Unnamed Water,5301.713568,352.399496,1.310081,352.399496
5,Polygon ZM,6,ONT-19-40-P493-19-P539-5-P541-7-3-P552-1-7-P555,8,0.5,Sly Pond,32353.9082,803.65757,7.994818,803.65757
6,Polygon ZM,7,ONT-19-P5397,1,0.2,Unnamed Water,4131.269114,304.432789,1.020858,304.432789
7,Polygon ZM,8,ONT-19-P5665,0.6,0.1,Unnamed Water,2488.155699,239.627136,0.614836,239.627136
8,Polygon ZM,9,ONT-19-81-51-4-P5545,0,0,Unnamed Water,196.995564,54.062546,0.048679,54.062546
9,Polygon ZM,10,ONT-19-134-P5655,1.5,0.4,Unnamed Water,6035.853605,590.120153,1.491491,590.120153
11,Polygon ZM,12,ONT-19-P5094,0.7,0.2,Unnamed Water,2876.559835,266.074236,0.710813,266.074236
12,Polygon ZM,13,ONT-19-P5449,0.2,0.1,Unnamed Water,1002.387655,140.899365,0.247695,140.899365
13,Polygon ZM,14,ONT-19-57-4-2-P604,0.2,0.1,Little Punky Pond,953.024121,118.23208,0.235497,118.23208
15,Polygon ZM,16,ONT-19-P613,1.3,0.2,Mahan Pond,5329.759835,280.73058,1.317011,280.73058
16,Polygon ZM,17,ONT-19-P815,3.6,0.3,Dwight Pond,14455.07443,476.864472,3.571924,476.864472
17,Polygon ZM,18,ONT-19-P685,1.8,0.2,Unnamed Water,7124.670668,303.629632,1.760543,303.629632
19,Polygon ZM,20,ONT-19-40-22-3-P488,2.5,0.3,Unnamed Water,10168.75597,406.062368,2.512752,406.062368
20,Polygon ZM,21,ONT-19-40-P493-19-P539-5-P541-7-3-P552-2-1-P558,2.1,0.3,Fly Ponds,8503.277712,468.408633,2.101204,468.408633
21,Polygon ZM,22,ONT-19-81-55-7-P5552,0.1,0.1,Unnamed Water,435.307328,96.457028,0.107567,96.457028
22,Polygon ZM,23,ONT-19-40-P493-19-1-P538,199.7,4.7,Rock Lake,808084.4036,7496.789373,199.681828,7496.789373
23,Polygon ZM,24,ONT-19-P5351,1.1,0.3,Unnamed Water,4336.159962,463.409454,1.071488,463.409454
24,Polygon ZM,25,ONT-19-57-10-6-P5232,0.7,0.2,Unnamed Water,2908.565982,354.887193,0.718722,354.887193
25,Polygon ZM,26,ONT-19-57-22-P645,4.3,0.3,Unnamed Water,17314.61091,547.828288,4.27853,547.828288
26,Polygon ZM,27,ONT-19-57-9-2-P5123,0.8,0.2,Unnamed Water,3266.047562,261.632849,0.807057,261.632849
27,Polygon ZM,28,ONT-19-P711,0.2,0.1,Unnamed Water,859.810076,121.534741,0.212464,121.534741
28,Polygon ZM,29,ONT-19-70-4-P689-2-P5401,1.9,0.4,Unnamed Water,7542.209496,606.610583,1.863719,606.610583
30,Polygon ZM,31,ONT-19-P5507,0.7,0.1,Unnamed Water,2789.551455,198.929142,0.689313,198.929142
31,Polygon ZM,32,ONT-19-81-18-P782D,2052.7,19.2,Fourth Lake,8307058.444,30956.83694,2052.717031,30956.83694
32,Polygon ZM,33,ONT-19-P672,1,0.2,Unnamed Water,4111.054741,270.121483,1.015863,270.121483
33,Polygon ZM,34,ONT-19-P5220,1.5,0.2,Unnamed Water,5921.799578,330.458959,1.463307,330.458959
34,Polygon ZM,35,ONT-19-81-18-P782D-10-P787A-2-1-1-P789,88.5,2.5,Bug Lake,357997.9546,4033.233486,88.463143,4033.233486
35,Polygon ZM,36,ONT-19-81-34-P808,691.9,7.2,Little Moose Lake,2800182.06,11541.35226,691.939444,11541.35226
36,Polygon ZM,37,ONT-19-57-9-1-P5116,6.3,0.7,Unnamed Water,25536.80971,1048.901422,6.310278,1048.901422
37,Polygon ZM,38,ONT-19-P1007,431.6,11.4,North Lake,1746671.924,18351.1126,431.61165,18351.1126
38,Polygon ZM,39,ONT-19-57-5-1-P5136,0.9,0.2,Unnamed Water,3489.832248,282.785996,0.862356,282.785996
39,Polygon ZM,40,ONT-19-81-14-P713-2-P5473,0.5,0.2,Unnamed Water,1876.281314,243.285599,0.463639,243.285599
40,Polygon ZM,41,ONT-19-81-18-13-P726,0.8,0.2,Unnamed Water,3169.568144,253.308507,0.783217,253.308507
41,Polygon ZM,42,C-P327,1,0.1,Bullet Pond,3951.640196,238.406731,0.976471,238.406731
42,Polygon ZM,43,C-P5178,0,0,Unnamed Water,133.231988,46.439999,0.032922,46.439999
43,Polygon ZM,44,C-P255,2.7,0.3,Bartlett Pond,10855.37424,440.109542,2.682419,440.109542
44,Polygon ZM,45,C-25-26-35-5-P254,1954.3,21.5,Lake Placid,7908810.734,34568.91158,1954.307966,34568.91158
45,Polygon ZM,46,C-25-27-18-P268,3.6,0.3,Clements Pond,14642.25505,488.922854,3.618177,488.922854
46,Polygon ZM,47,C-P5371,0.5,0.1,Highland Farm Pond,1884.586276,161.703694,0.465691,161.703694
47,Polygon ZM,48,C-25-27-26-6-P272,3.1,0.3,Lost Pond,12463.9343,469.438713,3.079903,469.438713
48,Polygon ZM,49,C-P259,0.6,0.1,Unnamed Water,2314.722196,205.736557,0.57198,205.736557
49,Polygon ZM,50,C-P5174,1.2,0.2,Unnamed Water,4660.566106,261.879753,1.15165,261.879753
50,Polygon ZM,51,C-25-26-4-1-P222,417.7,4.3,Fern Lake,1690222.271,6989.455224,417.66265,6989.455224
51,Polygon ZM,52,C-25-26-4-P227,858.6,9.7,Taylor Pond,3474625.687,15678.48314,858.597947,15678.48314
52,Polygon ZM,53,C-P216,1,0.2,Unnamed Water,4093.021847,241.723292,1.011407,241.723292
53,Polygon ZM,54,C-25-8-P218,160.6,3,Butternut Pond,649937.858,4877.634611,160.603,4877.634611
54,Polygon ZM,55,ONT-19-81-52-P841,6.3,1,Kettle Pond,25449.95222,1583.6089,6.288815,1583.6089
55,Polygon ZM,56,ONT-19-104-6A-P5498,0.4,0.1,Unnamed Water,1807.180827,222.628595,0.446564,222.628595
56,Polygon ZM,57,ONT-19-57-4-P597,112,4.4,Chase Lake,453048.7685,7079.476064,111.95069,7079.476065
57,Polygon ZM,58,ONT-19-60-4-P662,37.3,3.3,Catspaw Lake,150954.9174,5321.932677,37.301739,5321.932677
58,Polygon ZM,59,ONT-19-81-18-P782D-10-P787A-2-1-P790,305.9,4.1,Eighth Lake,1238053.912,6632.593377,305.929514,6632.593377
59,Polygon ZM,60,C-25-27-30-P5198,1.5,0.2,Unnamed Water,5896.228432,337.299084,1.456988,337.299084
60,Polygon ZM,61,C-P266,0.8,0.1,Lake Arnold,3210.056571,224.725982,0.793222,224.725982
61,Polygon ZM,62,C-25-27-P276,141.9,5,Lower Ausable Lake,574303.2303,8079.907826,141.913293,8079.907826
62,Polygon ZM,63,C-25-27-P277,152,3.3,Upper Ausable Lake,615135.5254,5383.376674,152.003164,5383.376674
63,Polygon ZM,64,ONT-19-81-7-3-P5415,1.4,0.2,Unnamed Water,5820.709308,349.054178,1.438327,349.054178
64,Polygon ZM,65,ONT-19-P5245,2.9,0.3,Unnamed Water,11584.30302,525.365609,2.862541,525.365609
65,Polygon ZM,66,ONT-19-40-22-P5190,0.8,0.2,Unnamed Water,3398.177239,243.680527,0.839707,243.680527
66,Polygon ZM,67,ONT-19-40-P493-32-P584,142.6,4.4,Twitchell Lake,577245.4931,7017.902147,142.640342,7017.902147
68,Polygon ZM,69,ONT-19-81-52-P846,4.4,0.4,Unnamed Water,17682.2911,602.366198,4.369385,602.366198
69,Polygon ZM,70,ONT-19-40-19-P5174,0.5,0.1,Unnamed Water,2076.035904,235.966547,0.512999,235.966547
71,Polygon ZM,72,ONT-19-P665,0.2,0.1,Unnamed Water,731.643917,98.903751,0.180793,98.903751
73,Polygon ZM,74,ONT-19-P479,0.5,0.1,Unnamed Water,2121.217717,190.11288,0.524164,190.11288
74,Polygon ZM,75,ONT-19-81-55-6-P5551,8,0.5,Unnamed Water,32489.36613,864.707912,8.02829,864.707912
76,Polygon ZM,77,ONT-19-81-7-P5417-1-P5416,0.2,0.1,Unnamed Water,775.380982,118.55066,0.191601,118.55066
77,Polygon ZM,78,ONT-19-57-8-P5098,2.4,0.4,Unnamed Water,9585.014804,627.089008,2.368507,627.089008
78,Polygon ZM,79,ONT-19-P435,1.4,0.2,Unnamed Water,5665.106183,271.844075,1.399877,271.844075
79,Polygon ZM,80,ONT-19-P5672,0.2,0.1,Unnamed Water,627.951615,102.610959,0.15517,102.610959
80,Polygon ZM,81,ONT-19-60-P676,220.6,5.7,Big Otter Lake,892655.3828,9187.147414,220.579754,9187.147414
81,Polygon ZM,82,ONT-19-40-18-P5172,0.5,0.1,Unnamed Water,1941.285974,223.529624,0.479702,223.529624
82,Polygon ZM,83,ONT-19-P5254,1.3,0.2,Unnamed Water,5092.113674,359.727956,1.258288,359.727956
83,Polygon ZM,84,ONT-19-70-4-P689,327.4,7.4,Brantingham Lake,1324982.124,11922.0709,327.409924,11922.0709
84,Polygon ZM,85,ONT-19-81-49A-P835,1.8,0.2,Cross Pond,7319.382959,323.864033,1.808657,323.864033
85,Polygon ZM,86,ONT-19-P609,0.4,0.1,Unnamed Water,1748.979698,179.750969,0.432182,179.750969
87,Polygon ZM,88,ONT-19-81-51-P5585,0.3,0.1,Unnamed Water,1215.314807,148.446962,0.300311,148.446962
88,Polygon ZM,89,ONT-19-81-18-17-15-P746-4-P747,99.8,2.8,Cascade Lake,403717.0372,4494.932838,99.760564,4494.932838
90,Polygon ZM,91,ONT-19-57-10-P5128,0.3,0.1,Unnamed Water,1028.732175,124.033482,0.254205,124.033482
92,Polygon ZM,93,ONT-19-81-18-17-P739-1-1-P5352,0.3,0.1,Unnamed Water,1331.883606,189.093415,0.329115,189.093415
93,Polygon ZM,94,ONT-19-P5124,0.5,0.1,Unnamed Water,2065.637267,180.275874,0.51043,180.275874
94,Polygon ZM,95,ONT-19-40-P493-5-P5206,2.6,0.4,Unnamed Water,10444.92868,669.469837,2.580996,669.469837
