Report_Name,Well_ID,Site_No,Well_ID_CK,Dec_Lat,Dec_Long,AP,CC,
Chemung-2018,YT 613,423619077141001,YT 613,42.605250,-77.236083,N,YA,
Central New York-2017,YA 301,424114077065201,YA 301,42.687461,-77.114124,N,YA,
Central New York-2017,OW 439,431815076233801,OW 439,43.260672,-76.355435,N,OW,
Central New York-2017,OW 503,431542075520801,OW 503,43.261837,-75.869072,N,OW,
Eastern Lake Ontario-2018,OW 513,433357076074401,OW 513,43.565806,-76.128917,N,OW,
Eastern Lake Ontario-2018,OW 622,432349075565301,OW 622,43.397028,-75.948167,N,OW,
Open-File Report 2015–1168,OW 809,433539076005201,OW 809,43.594222,-76.014361,N,OW,
Open-File Report 2011–1074,OW 918,432346076152601,OW 918,43.396389,-76.257944,N,OW,
Open-File Report 2011–1074,OW1052,432948076114501,OW1052,43.496750,-76.195694,N,OW,
Open-File Report 2011–1074,OW1599,433027075591701,OW1599,43.507639,-75.987500,N,OW,
Central New York-2017,OW1677,432920075550901,OW1677,43.488913,-75.919160,N,OW,
Open-File Report 2015–1168,OW2055,432536076134601,OW2055,43.426750,-76.229417,N,OW,
Eastern Lake Ontario-2018,OW2055,432536076134601,OW2055,43.426750,-76.229417,N,OW,
Open-File Report 2016–1153,W 534,432428073311501,W 534,43.408750,-73.544083,N,W,
Champlain-2019,W 534,432428073311501,W 534,43.408750,-73.544083,N,W,
Open-File Report 2014–1084,W1147,430301073212601,W1147,43.050361,-73.357250,N,W,
Open-File Report 2014–1084,W1162,431240073281701,W1162,43.212639,-73.471722,N,W,
Champlain-2019,W1616,434443073234501,W1616,43.745250,-73.395722,Y,W,
Champlain-2019,W2054,433320073153401,W2054,43.555556,-73.259306,N,W,
Upper Hudson-2017,W3002,431803073234601,W3002,43.300944,-73.395944,N,W,
Open-File Report 2016–1153,W3220,432407073152001,W3220,43.403944,-73.254000,N,W,
Champlain-2019,W3220,432407073152001,W3220,43.403944,-73.254000,N,W,
Upper Hudson-2017,W4071,431448073290901,W4071,43.212640,-73.470890,N,W,
Lower Hudson-2018,WE 201,411632073332101,WE 201,41.275583,-73.555917,N,WE,
Open-File Report 2015–1168,WE5014,411410073420301,WE5014,41.241722,-73.678306,N,WE,
Lower Hudson-2018,WE5014,411410073420301,WE5014,41.241722,-73.678306,N,WE,
Open-File Report 2015–1168,WE5230,411008073354401,WE5230,41.167306,-73.595444,N,WE,
Central New York-2017,WN 560,430647076552901,WN 560,43.112959,-76.922326,N,WN,
Central New York-2017,WN1109,431020077001601,WN1109,43.167085,-77.008409,N,WN,
WNY-2021,WO 152,424549078184101,WO 152,42.762333,-78.311444,N,WO,
Open-File Report 2007–1093,WO 349,425800078040001,WO 349,42.565361,-78.044167,N,WO,
Open-File Report 2012–1135,WO 350,426400078130001,WO 350,42.650889,-78.199417,N,WO,
Open-File Report 2007–1093,WO 350,426400078130001,WO 350,42.650889,-78.199417,N,WO,
WNY-2016,WO 351,423200078250001,WO 351,42.534750,-78.424306,N,WO,
Open-File Report 2008–1140,WO 351,423200078250001,WO 351,42.534750,-78.424306,N,WO,
Open-File Report 2008–1140,CU1304,422142079290701,CU1304,42.360917,-79.487833,N,CU,
Open-File Report 2008–1140,CU1951,421724079082701,CU1951,42.287472,-79.140306,N,CU,
Open-File Report 2008–1140,CU2054,420353079313901,CU2054,42.059917,-79.526722,N,CU,
Open-File Report 2008–1140,CU2158,421726079392601,CU2158,42.300167,-79.660361,N,CU,
Open-File Report 2008–1140,CU2195,423021079072201,CU2195,42.504417,-79.132389,N,CU,
WNY-2021,CU4098,420811079120701,CU4098,43.146556,-74.969778,?,CU,
WNY-2016,CU 595,420405079093201,CU 595,42.068140,-79.158810,N,CU,
Susquehanna-2019,BM  90,420540076030701,BM  90,42.094722,-76.051686,N,BM,
Open-File Report 2016–1153,BM  90,420540076030701,BM  90,42.094722,-76.051686,N,BM,
Open-File Report 2016–1153,BM 471,420417075382801,BM 471,42.071417,-75.640972,N,BM,
Susquehanna-2019,BM 750,420925075534001,BM 750,42.157014,-75.894519,N,BM,
Susquehanna-2019,BM2085,420508075502201,BM2085,42.083083,-75.840500,N,BM,
Open-File Report 2016–1153,BM2088,421348075505701,BM2088,42.230083,-75.849194,N,BM,
Susquehanna-2019,TI 892,421350076110301,TI 892,42.230528,-76.184278,N,TI,
Open-File Report 2016–1153,TI 892,421350076110301,TI 892,42.230528,-76.184278,N,TI,
Susquehanna-2019,TI 921,420123076221601,TI 921,42.023000,-76.371139,N,TI,
Open-File Report 2016–1153,TI 921,420123076221601,TI 921,42.023000,-76.371139,N,TI,
Open-File Report 2016–1153,TI1031,422237076092001,TI1031,42.376833,-76.155444,N,TI,
Open-File Report 2016–1153,TI1663,420702076105301,TI1663,42.117278,-76.181278,N,TI,
Susquehanna-2019,SY1363,421526076402701,SY1363,42.257111,-76.674056,N,SY,
Open-File Report 2015–1168,SY 922,421800077051901,SY 922,42.299944,-77.088639,N,SY,
Open-File Report 2015–1168,SY 707,422017077005801,SY 707,42.337111,-77.015833,N,SY,
Central New York-2017,SY 424,422120076502901,SY 424,42.355370,-76.842104,N,SY,
Central New York-2017,SY 402,422937076531401,SY 402,42.493410,-76.887624,N,SY,
Open-File Report 2019-1005,SV 132,414831074531101,SV 132,41.812806,-74.881972,N,SV,
Open-File Report 2019-1005,SV 39,415601074544901,SV 39,41.933056,-74.913333,N,SV,
Delaware-2020,SV 39,415601074544901,SV 39,41.933056,-74.913333,N,SV,
Delaware-2020,SV 429,414533074481901,SV 429,41.759439,-74.805386,N,SV,
Delaware-2020,SV 534,414504074355301,SV 534,41.731389,-74.602222,N,SV,
Open-File Report 2019-1005,SV 534,414504074355301,SV 534,41.731389,-74.602222,N,SV,
Delaware-2020,SV 551,413434074291201,SV 551,41.576667,-74.486944,N,SV,
Delaware-2020,SV 88,413603075024901,SV 88,41.600750,-75.046861,N,SV,
Open-File Report 2019-1005,SV1689,415220075034801,SV1689,41.872472,-75.063389,N,SV,
St Lawrence-2020,ST4376,440826074542701,ST4376,44.140556,-74.907444,Y,ST,
St Lawrence-2020,ST4258,442332075113901,ST4258,44.392306,-75.194417,N,ST,
St Lawrence-2020,ST4062,444721074453501,ST4062,44.787611,-74.755611,N,ST,
St Lawrence-2020,ST3744,444041075313101,ST3744,44.678222,-75.525389,N,ST,
St Lawrence-2020,ST3712,441248075050201,ST3712,44.213389,-75.084083,Y,ST,
Open-File Report 2019-1005,ST3703,444200075114801,ST3703,44.699583,-75.196278,N,ST,
Open-File Report 2019-1005,ST3674,443927075291301,ST3674,44.658028,-75.488139,N,ST,
Open-File Report 2019-1005,ST3627,441245075142601,ST3627,44.212389,-75.238694,N,ST,
St Lawrence-2020,ST3496,444746074594501,ST3496,44.796167,-74.995778,N,ST,
Open-File Report 2019-1005,ST3358,442844075350101,ST3358,44.478972,-75.583417,N,ST,
St Lawrence-2020,ST2820,443606074525801,ST2820,44.611222,-74.877139,N,ST,
Open-File Report 2019-1005,ST2460,444456074400301,ST2460,44.748778,-74.667444,N,ST,
