"LAKE_HISTORY_ID","LAKE_WATERBODY_NAME","LOCATION_HISTORY_ID","LOCATION_NAME","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","SAMPLE_DATE","INFORMATION_TYPE","RSLT_PROFILE_DEPTH","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_C","ONONDAGA LAKE CENTROID",-76.210403,43.0891,2015-09-09,"Shore Bloom Sample",NA,"MICROCYSTIN",0.12,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_C","ONONDAGA LAKE CENTROID",-76.210403,43.0891,2015-09-09,"Shore Bloom Sample",NA,"CYLINDROSPERMOPSIN",0.0115,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_C","ONONDAGA LAKE CENTROID",-76.210403,43.0891,2015-09-09,"Shore Bloom Sample",NA,"ANATOXIN-A",0.004,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"CHLORIDE",473,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"MAGNESIUM",23300,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"PHOSPHORUS, TOTAL",0.0097,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"SULFATE (AS SO4)",155,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"CALCIUM",129000,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"PH FOR COLOR ANALYSIS",7.55,"pH units"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"NITROGEN, KJELDAHL, TOTAL",0.79,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"ALKALINITY, TOTAL (AS CACO3)",199,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"NITROGEN, NITRITE",0.0035,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"HARDNESS (AS CACO3)",419,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"CARBON, DISSOLVED ORGANIC (DOC)",3.5,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"TRUE COLOR",19,"color units"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"CARBON, TOTAL ORGANIC",3.4,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"ARSENIC",0.67,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"NITROGEN, AMMONIA (AS N)",0.136,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"IRON",34,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Bottom Sample",NA,"PHOSPHORUS, DISSOLVED",0.005,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"NITROGEN, KJELDAHL, TOTAL",0.81,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"CARBON, TOTAL ORGANIC",4.9,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"NITROGEN, NITRITE",0.041,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"ARSENIC",0.68,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"MANGANESE",9.7,"ug/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"HARDNESS (AS CACO3)",345,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"PHOSPHORUS, DISSOLVED",0.0062,"mg/L"
"0702ONO0154","ONONDAGA LAKE","0702ONO0154_NDH","North Deep Hole",-76.22602187,43.10056507,2021-07-28,"Integrated Surfaces Sample",NA,"TRUE COLOR",18,"color units"
