site_id,BASIN,LOCATION,RIVERMILE,sample_date,sys_sample_code,sample_source,sample_matrix_code,dec_sample_type_cde,lab_sample_type_cde,sample_type_code_combined,chemical_name,fraction,result_value,result_unit,lab_qualifiers,interpreted_qualifiers,validator_qualifiers,validator_qualifiers_equis,method_detection_limit,reporting_detection_limit,quantitation_limit,detection_limit_unit,adj_result_value,SITE_WATER_QLTY_STANDARD,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L2CODE,NA_L2NAME
01-BOUR-0.4,01,BOUR,0.4,2016-10-26 09:00:00,01053400_10262016_WS,field,WS,,,N,chloride (as cl),T,30.1,mg/l,,,0,,1,,2,mg/l,30.1,C,83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BOUR-0.4,01,BOUR,0.4,2016-06-14 10:00:00,01053400_06142016_WS,field,WS,,,N,chloride (as cl),T,66.3,mg/l,,,0,,1,,2,mg/l,66.3,C,83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BOUR-0.4,01,BOUR,0.4,2016-09-22 09:00:00,01053400_09222016_WS,field,WS,,,N,chloride (as cl),T,64,mg/l,,,0,,1,,2,mg/l,64,C,83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BOUR-0.4,01,BOUR,0.4,2016-04-21 09:00:00,01053400_04212016_WS,field,WS,,,N,chloride (as cl),T,34.1,mg/l,,,0,,1,,2,mg/l,34.1,C,83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BOUR-0.4,01,BOUR,0.4,2016-08-02 09:00:00,01053400_08022016_WS,field,WS,,,N,chloride (as cl),T,200,mg/l,,,0,,10,,20,mg/l,200,C,83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BOUR-0.4,01,BOUR,0.4,2016-05-10 10:00:00,01053400_05102016_WS,field,WS,,,N,chloride (as cl),T,29.8,mg/l,,,0,,1,,2,mg/l,29.8,C,83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BSIS-2.0,01,BSIS,2.0,2001-04-18 11:00:00,01041202B-04182001-WS,,WS,,,N,chloride (as cl),T,55.8,mg/l,,,0,,,,,,55.8,C(T),83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BSIS-2.0,01,BSIS,2.0,2001-10-25 11:00:00,01041202B-10252001-WS,,WS,,,N,chloride (as cl),T,90.9,mg/l,,,0,,,,,,90.9,C(T),83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BSIS-2.0,01,BSIS,2.0,2001-06-06 11:00:00,01041202B-06062001-WS,,WS,,,N,chloride (as cl),T,53.8,mg/l,,,0,,,,,,53.8,C(T),83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
01-BSIS-2.0,01,BSIS,2.0,2001-11-14 11:00:00,01041202B-11142001-WS,,WS,,,N,chloride (as cl),T,72.7,mg/l,,,0,,,,,,72.7,C(T),83,Eastern Great Lakes Lowlands,8.1.1,8.1,MIXED WOOD PLAINS
