OBJECTID,site_id,BASIN,ECO_REGION,HUC6_NAME,sample_date,chemical_name,result_value,result_unit,adj_result_value,Lat,Long,Eco_Region_Lvl_III,Class_A
1,01-BOUR-0.4,1,7,Eastern Lake Erie,2016-10-26 9:00,chloride (as cl),30.1,mg/l,30.1,42.35706,-79.5515,,F
2,01-BOUR-0.4,1,7,Eastern Lake Erie,2016-06-14 10:00,chloride (as cl),66.3,mg/l,66.3,42.35706,-79.5515,,F
3,01-BOUR-0.4,1,7,Eastern Lake Erie,2016-09-22 9:00,chloride (as cl),64,mg/l,64,42.35706,-79.5515,,F
4,01-BOUR-0.4,1,7,Eastern Lake Erie,2016-04-21 9:00,chloride (as cl),34.1,mg/l,34.1,42.35706,-79.5515,,F
5,01-BOUR-0.4,1,7,Eastern Lake Erie,2016-08-02 9:00,chloride (as cl),200,mg/l,200,42.35706,-79.5515,,F
6,01-BOUR-0.4,1,7,Eastern Lake Erie,2016-05-10 10:00,chloride (as cl),29.8,mg/l,29.8,42.35706,-79.5515,,F
7,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-04-18 11:00,chloride (as cl),55.8,mg/l,55.8,42.65706,-79.03608,,F
8,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-10-25 11:00,chloride (as cl),90.9,mg/l,90.9,42.65706,-79.03608,,F
9,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-06-06 11:00,chloride (as cl),53.8,mg/l,53.8,42.65706,-79.03608,,F
10,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-11-14 11:00,chloride (as cl),72.7,mg/l,72.7,42.65706,-79.03608,,F
11,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-07-24 11:00,chloride (as cl),131,mg/l,131,42.65706,-79.03608,,F
12,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-10-02 11:00,chloride (as cl),97.8,mg/l,97.8,42.65706,-79.03608,,F
13,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-05-10 11:00,chloride (as cl),70.5,mg/l,70.5,42.65706,-79.03608,,F
14,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-09-19 11:00,chloride (as cl),92.8,mg/l,92.8,42.65706,-79.03608,,F
15,01-BSIS-2.0,1,7,Eastern Lake Erie,2001-07-02 12:00,chloride (as cl),93.1,mg/l,93.1,42.65706,-79.03608,,F
16,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-07-20 11:15,chloride (as cl),48,mg/l,48,42.62475,-78.96739,,F
17,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-05-24 11:35,chloride (as cl),12.8,mg/l,12.8,42.62475,-78.96739,,F
18,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-06-28 12:00,chloride (as cl),34.4,mg/l,34.4,42.62475,-78.96739,,F
19,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-08-17 11:40,chloride (as cl),37.7,mg/l,37.7,42.62475,-78.96739,,F
20,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-11-01 12:05,chloride (as cl),33.7,mg/l,33.7,42.62475,-78.96739,,F
21,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-10-12 12:00,chloride (as cl),41.1,mg/l,41.1,42.62475,-78.96739,,F
22,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-06-14 12:05,chloride (as cl),41.4,mg/l,41.4,42.62475,-78.96739,,F
23,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-04-12 12:30,chloride (as cl),43.3,mg/l,43.3,42.62475,-78.96739,,F
24,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-09-12 12:10,chloride (as cl),18.3,mg/l,18.3,42.62475,-78.96739,,F
25,01-BSIS-8.6,1,7,Eastern Lake Erie,2011-05-03 12:00,chloride (as cl),21.7,mg/l,21.7,42.62475,-78.96739,,F
26,01-BUFC-2.2,1,7,Eastern Lake Erie,2001-09-04 9:00,chloride (as cl),30.2,mg/l,30.2,42.85474,-78.75507,,F
27,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-11-06 8:35,chloride (as cl),33,mg/l,33,42.85474,-78.75507,,F
28,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-09-06 10:20,chloride (as cl),32,mg/l,32,42.85474,-78.75507,,F
29,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-10-18 8:20,chloride (as cl),25.4,mg/l,25.4,42.85474,-78.75507,,F
30,01-BUFC-2.2,1,7,Eastern Lake Erie,2001-07-31 10:00,chloride (as cl),48.1,mg/l,48.1,42.85474,-78.75507,,F
31,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-05-22 8:30,chloride (as cl),60.9,mg/l,60.9,42.85474,-78.75507,,F
32,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-07-13 8:10,chloride (as cl),19.4,mg/l,19.4,42.85474,-78.75507,,F
33,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-09-25 8:20,chloride (as cl),29.3,mg/l,29.3,42.85474,-78.75507,,F
34,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-06-13 9:00,chloride (as cl),54,mg/l,54,42.85474,-78.75507,,F
35,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-04-04 8:30,chloride (as cl),34.2,mg/l,34.2,42.85474,-78.75507,,F
36,01-BUFC-2.2,1,7,Eastern Lake Erie,2001-05-17 9:00,chloride (as cl),43,mg/l,43,42.85474,-78.75507,,F
37,01-BUFC-2.2,1,7,Eastern Lake Erie,2001-10-31 9:00,chloride (as cl),55.5,mg/l,55.5,42.85474,-78.75507,,F
