Site_ID,Lat,Long,SITE_NAME,Site_Selection,Project_Name
08-ADKS_17-0.6,43.92472,-74.81416,Unnamed Tributary To Stillwater Reservoir,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_18-0.5,43.97417,-74.7936,Unnamed Tributary To Beaver River,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_19-0.2,43.93333,-74.68806,Unnamed Tributary To Shingle Shanty Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_21-0.2,43.86083,-75.14,Unnamed Tributary To Beaver River,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_22-0.2,43.85444,-75.16111,Unnamed Tributary To Francis Lake,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_23-0.1,43.76805,-74.71388,Unnamed Tributary To Eighth Lake Outlet,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_24-0.8,43.66861,-75.26888,Unnamed Tributary To Fish Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_26-9.8,43.68778,-75.21555,Fish Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_27-0.1,43.64722,-74.96361,Unnamed Tributary To Little Moose Outlet,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_28-1.3,43.71556,-74.76082,Fawn Lake Inlet,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_29-0.9,43.70333,-74.77834,Limekiln Lake Trib,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_30-0.1,43.7011,-74.7573,Unnamed Tributary to Red River,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_31-0.1,43.70306,-74.75694,Unnamed Tributary to Red River,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_32-0.1,43.70222,-74.75278,Unnamed Tributary to Red River,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_33-0.1,43.64917,-74.68833,Unnamed Tributary To Falls Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_34-0.2,43.7025,-74.59638,Bradley Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_35-2.0,43.7025,-74.575,Silver Run,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_36-0.5,43.65583,-74.67555,Unnamed Tributary To Otter Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_37-5.0,43.53944,-75.205,Cummings Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_38-0.2,43.61833,-74.94639,Unnamed Tributary To Big Woodhull Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_39-0.3,43.45667,-75.00417,Vincent Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-ADKS_40-0.1,43.48611,-75.00249,Unnamed Tributary To Otter Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-BEAD-0.1,43.78167,-75.28394,Beaver Meadow Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-BEEV_T16-1.5,43.92107,-75.18084,Unnamed Tributary To Beaver River,Non-Targeted / Targeted,RIBS Screening / RAS
08-BENE-0.2,43.67611,-74.70834,Benedict Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-BLCK_T132-2.0,43.51919,-74.914078,Unnamed Tributary To Black River,Non-Targeted / Targeted,RIBS Screening / RAS
08-BRDL-0.1,43.70083,-74.59639,Bradley Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-BRNT-0.1,43.695326,-75.263857,Unnamed Tributary To Brantingham Lake,Non-Targeted / Targeted,RIBS Screening / RAS
08-BUCC-0.1,43.7389,-74.7222,Buck Creek,Targeted,RMN
08-BURN-3.1,43.82947,-75.25346,Burnt Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-CELL-0.3,43.70472,-74.57917,Cellar Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-CRYS_T11-1.1,43.816071,-75.30574,Unnamed Tributary To Crystal Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-EAGL-1.0,43.77272,-74.82064,Eagle Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-FSHB-1.3,43.92972,-75.21056,Fish Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-ICEE-0.2,43.55986,-74.90392,Ice Cave Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-INDB-1.4,43.70833,-75.01805,Indian Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-INDY-10.7,43.77111,-75.30556,Independence River,Non-Targeted / Targeted,RIBS Screening / RAS
08-LBLK-5.0,43.37583,-75.06805,Little Black Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-LIZA-1.2,43.87222,-75.08052,Lizard Spring Brook,Non-Targeted / Targeted,RIBS Screening / RAS
08-LMOO-1.9,43.66228,-74.94861,Little Moose Outlet,Non-Targeted / Targeted,RIBS Screening / RAS
08-MOOS-11.4,43.605611,-75.185978,Moose River,Non-Targeted / Targeted,RIBS Screening / RAS
08-MOOS-16.8,43.6125,-75.1011,Moose River,Non-Targeted / Targeted,RIBS Screening / RAS
08-MOOS-4.9,43.62361,-75.27388,Moose River,Non-Targeted / Targeted,RIBS Screening / RAS
08-MOOS_M-3.9,43.66222,-75.07305,Middle Branch Moose River,Non-Targeted / Targeted,RIBS Screening / RAS
08-MOOS_N-1.4,43.71305,-74.99972,North Branch Moose River,Non-Targeted / Targeted,RIBS Screening / RAS
08-MOOS_S-0.1,43.6425,-74.95472,South Branch Moose River,Non-Targeted / Targeted,RIBS Screening / RAS
08-OTLO-0.7,43.57539,-75.13557,Otter Lake Outlet,Non-Targeted / Targeted,RIBS Screening / RAS
08-OTTR-12.1,43.71695,-75.22111,Otter Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-PINC-0.4,43.62389,-75.25832,Pine Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-PINC_T2-2.4,43.64603,-75.199491,Unnamed Tributary To Pine Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-SLVR-0.3,43.69389,-74.60306,Silver Run,Non-Targeted / Targeted,RIBS Screening / RAS
08-SLVR-2.0,43.703,-74.57449,Silver Run,Non-Targeted / Targeted,RIBS Screening / RAS
08-SUND-0.2,43.87022,-75.13825,Sunday Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-THRK-0.7,43.73064,-74.88431,Third Lake Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-TWIL-0.9,43.45067,-75.01492,Twin Lakes Stream,Non-Targeted / Targeted,RIBS Screening / RAS
08-TWIT-0.9,43.85081,-74.9978,Twitchell Creek,Non-Targeted / Targeted,RIBS Screening / RAS
08-WADKS-0.1,43.713429,-74.78331,Unnamed Tributary To Limekiln Lake,Non-Targeted / Targeted,RIBS Screening / RAS
08-WTHRK-0.7,43.730671,-74.884381,Third Lake Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_01-0.1,44.13083,-75.25611,Unnamed Tributary To South Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_04-7.4,44.21194,-75.12556,Yellow Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_05-4.7,44.181666,-75.07805,Unnamed Tributary To Little River,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_06-0.9,44.22583,-75.04583,Unnamed Tributary To Skate Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_07-0.8,44.19417,-74.82278,Unnamed Tributary To Cranberry Lake,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_08-0.6,44.199722,-74.845833,Unnamed Tributary To Cranberry Lake,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_10-0.3,44.09195,-75.27721,Unnamed Tributary To Middle Branch Oswegatchie River,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_13-0.5,44.0105,-75.2331,Unnamed Tributary To Blue Swamp Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_14-0.4,44.05083,-75.22139,Unnamed Tributary To Palmer Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS_15-0.9,44.0364,-75.0936,Massawepie Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS11_157-1.6,43.86745,-74.43265,Unnamed Tributary To Blue,Non-Targeted / Targeted,RIBS Screening / RAS
09-ADKS11_65-0.1,43.91317,-74.48412,Unnamed Tributary To Raquette River,Non-Targeted / Targeted,RIBS Screening / RAS
09-AMPR-2.6,44.19833,-74.29666,Ampersand Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-BCKB-0.6,44.43864,-75.04945,Buck Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-BIBK-5.4,44.00278,-74.48027,Big Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-BOGR-0.1,44.12861,-74.54556,Bog River,Non-Targeted / Targeted,RIBS Screening / RAS
09-BVBK-0.1,43.8648,-74.47869,Beaver Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-CLDK-7.2,44.44579,-74.80504,Cold Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-CORI-13.9,44.14228,-74.12884,Cold River,Non-Targeted / Targeted,RIBS Screening / RAS
09-DECR-6.0,44.21639,-74.61916,Dead Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-DECR_T4-0.1,44.2162,-74.61581,Unnamed Tributary To Dead Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-FIRS-0.2,44.30533,-74.9944,First Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-GRAS_M-1.0,44.37528,-75.06055,Middle Branch Grass River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GRAS_M-3.7,44.380032,-75.03131,Middle Branch Grass River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GRAS_N-3.7,44.42917,-75.05166,North Branch Grass River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GRAS_S-13.0,44.2856,-74.96257,South Branch Grass River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GRAS_S-27.3,44.2481,-74.78316,South Branch Grass River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GRAS_ST24-1.4,44.26039,-74.89072,Unnamed Tributary To South Branch Grass River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GTCH-93.9,44.23167,-75.08888,Oswegatchie River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GTCH_M-12.3,44.068172,-75.227515,Middle Branch Oswegatchie River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GTCH_M_T2-0.1,44.09081,-75.29247,Unnamed Tributary To Middle Branch Oswegatchie River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GTCH_M_T6-0.4,44.085903,-75.25591,Unnamed Tributary To Middle Branch Oswegatchie River,Non-Targeted / Targeted,RIBS Screening / RAS
09-GTCH_W-49.1,43.991823,-75.177893,West Branch Oswegatchie River,Non-Targeted / Targeted,RIBS Screening / RAS
09-HATC-2.9,44.68361,-74.19055,Hatch Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-HOPI-0.8,44.69722,-74.70722,Hopkinton Brook,Non-Targeted / Targeted,RIBS Screening / RAS
