"LAKE_WATERBODY_NAME","SAMPLE_DATE","SAMPLE_TIME","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_RESULT_SAMPLE_FRACTION","RSLT_RESULT_UNIT","RSLT_RESULT_VALUE"
"LONG POND",1994-06-16,"1994-06-16 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.370318e-08
"LONG POND",1994-06-16,"1994-06-16 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-06-16,"1994-06-16 00:00:00","Open Water","PH",NA,"pH units",7.27
"LONG POND",1994-06-16,"1994-06-16 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1994-06-16,"1994-06-16 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",1994-06-16,"1994-06-16 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,9.772372e-08
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","PH",NA,"pH units",7.01
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.005
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",44
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1994-06-28,"1994-06-28 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",3.25
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.467369e-08
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.19
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","PH",NA,"pH units",7.46
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.005
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","TEMPERATURE",NA,"deg C",25
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",4
"LONG POND",1994-07-20,"1994-07-20 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.25
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.265795e-08
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.04
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","PH",NA,"pH units",7.37
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.005
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","TEMPERATURE",NA,"deg C",24
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",1994-07-27,"1994-07-27 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.737801e-08
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.12
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","PH",NA,"pH units",7.76
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",46
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","TEMPERATURE",NA,"deg C",23
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1994-08-08,"1994-08-08 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.75
