"LAKE_WATERBODY_NAME","INFORMATION_TYPE","HS_HAB_STATUS","HS_HAB_STATUS_DATE","HS_HAB_STATUS_REMARK"
"ALLEGHENY RESERVOIR","Depth Profile",NA,NA,NA
"ALLEGHENY RESERVOIR","Open Water",NA,NA,NA
"ALLEGHENY RESERVOIR","Secchi Depth",NA,NA,NA
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2012-08-31",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2013-07-12",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2013-08-02",""
"ALLEGHENY RESERVOIR","HAB Report","ARCHIVE","2016-08-26","NO ADDITIONAL INFO"
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2016-07-28",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2016-08-30",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2016-09-12",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2016-09-19",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2016-09-26",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2016-10-08",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2016-10-20",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-09-25",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-10-16",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2018-10-10",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2018-10-15",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2018-10-24",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2018-10-29",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2019-08-26",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2019-09-03",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2019-09-30",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2019-10-07",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2019-10-15",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2020-10-16",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-08-07",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-08-28",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-09-05",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-10-05",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2017-10-10",""
"ALLEGHENY RESERVOIR","Bottom Sample",NA,NA,NA
"ALLEGHENY RESERVOIR","Shore Bloom","CONFIRMED","2017-09-15",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2020-09-08",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2020-09-21",""
"ALLEGHENY RESERVOIR","HAB Report","CONFIRMED","2020-10-01",""
"ALLEGHENY RESERVOIR","HAB Report","SUSPICIOUS","2017-07-06",""
"ALLEGHENY RESERVOIR","Shore Bloom","CONFIRMED","2017-07-12",""
"ALLEGHENY RESERVOIR","Shore Bloom","NO BLOOM","2017-08-11",""
"ALLEGHENY RESERVOIR","Shore Bloom","CONFIRMED","2017-08-11",""
