"LAKE_WATERBODY_NAME","SAMPLE_DATE","SAMPLE_TIME","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_RESULT_SAMPLE_FRACTION","RSLT_RESULT_UNIT","RSLT_PROFILE_DEPTH","RSLT_RESULT_VALUE","HS_HAB_STATUS","HS_HAB_STATUS_DATE","HS_HAB_STATUS_REMARK"
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,4.35,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,4.63,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,2.42,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,3.03,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,6.64,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,1.67,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,2.32,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0,1.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,8.16,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,8.3,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,11.71,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,10.32,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,8.84,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,8.86,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,9.23,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0,8.78,NA,NA,NA
