"site_no","AP","SAMPLE_DATE","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT","LOCATION_WATERBODY_CLASSIFICATION","LOCATION_Y_COORDINATE","LOCATION_X_COORDINATE"
"01-BOUR-0.4","N","2016-10-26 9:00","CHLORIDE",30.1,"mg/l","B",42.35706,-79.5515
"01-BOUR-0.4","N","2016-06-14 10:00","CHLORIDE",66.3,"mg/l","B",42.35706,-79.5515
"01-BOUR-0.4","N","2016-09-22 9:00","CHLORIDE",64,"mg/l","B",42.35706,-79.5515
"01-BOUR-0.4","N","2016-04-21 9:00","CHLORIDE",34.1,"mg/l","B",42.35706,-79.5515
"01-BOUR-0.4","N","2016-08-02 9:00","CHLORIDE",200,"mg/l","B",42.35706,-79.5515
"01-BOUR-0.4","N","2016-05-10 10:00","CHLORIDE",29.8,"mg/l","B",42.35706,-79.5515
"01-BSIS-2.0","N","2001-04-18 11:00","CHLORIDE",55.8,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-10-25 11:00","CHLORIDE",90.9,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-06-06 11:00","CHLORIDE",53.8,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-11-14 11:00","CHLORIDE",72.7,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-07-24 11:00","CHLORIDE",131,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-10-02 11:00","CHLORIDE",97.8,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-05-10 11:00","CHLORIDE",70.5,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-09-19 11:00","CHLORIDE",92.8,"mg/l","B",42.65706,-79.03608
"01-BSIS-2.0","N","2001-07-02 12:00","CHLORIDE",93.1,"mg/l","B",42.65706,-79.03608
"01-BSIS-8.6","N","2011-07-20 11:15","CHLORIDE",48,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-05-24 11:35","CHLORIDE",12.8,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-06-28 12:00","CHLORIDE",34.4,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-08-17 11:40","CHLORIDE",37.7,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-11-01 12:05","CHLORIDE",33.7,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-10-12 12:00","CHLORIDE",41.1,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-06-14 12:05","CHLORIDE",41.4,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-04-12 12:30","CHLORIDE",43.3,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-09-12 12:10","CHLORIDE",18.3,"mg/l","B",42.62475,-78.96739
"01-BSIS-8.6","N","2011-05-03 12:00","CHLORIDE",21.7,"mg/l","B",42.62475,-78.96739
"01-BUFC-2.2","N","2001-09-04 9:00","CHLORIDE",30.2,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-11-06 8:35","CHLORIDE",33,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-09-06 10:20","CHLORIDE",32,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-10-18 8:20","CHLORIDE",25.4,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2001-07-31 10:00","CHLORIDE",48.1,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-05-22 8:30","CHLORIDE",60.9,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-07-13 8:10","CHLORIDE",19.4,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-09-25 8:20","CHLORIDE",29.3,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-06-13 9:00","CHLORIDE",54,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-04-04 8:30","CHLORIDE",34.2,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2001-05-17 9:00","CHLORIDE",43,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2001-10-31 9:00","CHLORIDE",55.5,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-05-02 8:30","CHLORIDE",47.6,"mg/l","B",42.85474,-78.75507
"01-BUFC-2.2","N","2006-08-16 8:20","CHLORIDE",45.5,"mg/l","B",42.85474,-78.75507
"01-BUFC-37.8","N","2016-10-25 9:00","CHLORIDE",22,"mg/l","A",42.64,-78.462
"01-BUFC-37.8","N","2016-05-10 13:00","CHLORIDE",21.1,"mg/l","A",42.64,-78.462
"01-BUFC-37.8","N","2016-06-15 13:00","CHLORIDE",22.9,"mg/l","A",42.64,-78.462
"01-BUFC-37.8","N","2016-08-03 12:00","CHLORIDE",21,"mg/l","A",42.64,-78.462
"01-BUFC-37.8","N","2016-09-20 12:00","CHLORIDE",19.4,"mg/l","A",42.64,-78.462
"01-BUFF-1.7","N","2008-04-22 13:00","CHLORIDE",63.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2011-09-15 13:30","CHLORIDE",56.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2013-07-02 13:15","CHLORIDE",57.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2003-10-29 10:00","CHLORIDE",35.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2004-08-16 10:00","CHLORIDE",56.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2006-08-16 10:40","CHLORIDE",31.4,"mg/l","B",42.86194,-78.86787
