"site_no","SAMPLE_DATE","Dec_Lat","Dec_Long","AP","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
410654074005401,2013-08-01,41.115,-74.015278,"N","SODIUM",28400,"ug/L"
410744074074901,2013-08-01,41.130306,-74.131806,"N","SODIUM",32600,"ug/L"
410744074074901,2018-10-03,41.130306,-74.131806,"N","SODIUM",39800,"ug/L"
410840073545201,2013-07-24,41.145278,-73.915556,"N","SODIUM",50700,"ug/L"
411008073354401,2013-07-17,41.167306,-73.595444,"N","SODIUM",10000,"ug/L"
411102074184901,2013-07-18,41.183722,-74.313583,"N","SODIUM",8520,"ug/L"
411410073420301,2013-07-30,41.241722,-73.678306,"N","SODIUM",56200,"ug/L"
411410073420301,2018-10-10,41.241722,-73.678306,"N","SODIUM",60600,"ug/L"
411632073332101,2018-10-10,41.275583,-73.555917,"N","SODIUM",14400,"ug/L"
411736074275102,2018-10-30,41.293333,-74.462778,"N","SODIUM",148000,"ug/L"
411824074122501,2018-11-27,41.306667,-74.206944,"N","SODIUM",29900,"ug/L"
411940073564401,2013-07-24,41.327194,-73.944028,"N","SODIUM",3130,"ug/L"
412039074072001,2013-07-18,41.343417,-74.123361,"N","SODIUM",52900,"ug/L"
412410073360105,2013-07-30,41.401111,-73.5975,"N","SODIUM",63600,"ug/L"
412414074424301,2020-08-06,41.404139,-74.712167,"N","SODIUM",10600,"ug/L"
412418074244202,2018-10-30,41.405,-74.411667,"N","SODIUM",27300,"ug/L"
412733073550801,2018-10-03,41.461517,-73.918283,"N","SODIUM",39700,"ug/L"
412824074321901,2013-07-23,41.470972,-74.542833,"N","SODIUM",49400,"ug/L"
413340074111801,2013-07-15,41.560806,-74.164278,"N","SODIUM",25000,"ug/L"
413434074291201,2020-08-18,41.576667,-74.486944,"N","SODIUM",15700,"ug/L"
413449074344901,2018-10-31,41.580278,-74.580278,"N","SODIUM",6310,"ug/L"
413551073473601,2013-07-16,41.597667,-73.793278,"N","SODIUM",5990,"ug/L"
413603075024901,2020-08-04,41.60075,-75.046861,"N","SODIUM",10200,"ug/L"
413657073542301,2018-09-18,41.61575,-73.9065,"N","SODIUM",55500,"ug/L"
413934074094701,2013-07-16,41.660139,-74.163,"N","SODIUM",33100,"ug/L"
414411073345302,2013-07-25,41.736389,-73.580833,"N","SODIUM",16100,"ug/L"
414438074221701,2013-07-15,41.750417,-74.390722,"N","SODIUM",900,"ug/L"
414504074355301,2015-10-21,41.731389,-74.602222,"N","SODIUM",26400,"ug/L"
414504074355301,2020-08-18,41.731389,-74.602222,"N","SODIUM",37300,"ug/L"
414533074481901,2020-08-17,41.759439,-74.805386,"N","SODIUM",2290,"ug/L"
414628073595701,2018-08-07,41.774444,-73.999167,"N","SODIUM",2170,"ug/L"
