"LAKE_HISTORY_ID","LOCATION_HISTORY_ID","agg_L3_Key","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","LOCATION_WATERBODY_CLASSIFICATION","medians","agg_L3_Name","agg_state"
"0102ATT0020","0102ATT0020_DH","60",-78.25945,42.83261,"A",40.9,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0102FAU0021A","0102FAU0021A_DH","60",-78.289837,42.64061,"C",7.5,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0102HAR5128","0102HAR5128_DH","83",-78.430702,42.905201,NA,193,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0103UWB5479","0103UWB5479_DH","83",-77.285607,42.82157,"C",4.8,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0104CLE0100","0104CLE0100_DH","60",-78.852943,42.552907,"A",32.3,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0104GRE5309","0104GRE5309_DH","83",-78.753512,42.757515,"B",81.1,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0104JAV0152","0104JAV0152_C","60",-78.343903,42.631302,"B",40.15,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0104LIM0130","0104LIM0130_C","60",-78.479202,42.427399,"B",45.4,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0104SUC0132","0104SUC0132_DH","60",-78.5032,42.43667,"C",5.2,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0105FRE0160","0105FRE0160_DH","60",-79.309897,42.395113,"A",15.6,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0105MIN0165A","0105MIN0165A_DH","60",-79.57616,42.29744,"A",7.2,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0201ALM5535","0201ALM5535_DH","60",-78.00189,42.01421,"C",0.01,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0201CUB0115","0201CUB0115_C","60",-78.292801,42.253399,"B",6.01,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0201RED0095B","0201RED0095B_DH","60",-78.745892,42.104343,"B",0.25,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202AIRXXX1","0202AIRXXX1_DH","60",-79.6854,42.14715,NA,0.525,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202BEA0131","0202BEA0131_DH","60",-79.38433,42.348009,"A",9.35,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202CHA0122","0202CHA0122_NCSL","60",-79.430702,42.180951,"A",21.5,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202CHA0122","0202CHA0122_SCSL","60",-79.363881,42.123269,"A",23.6,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202FIN0153","0202FIN0153_C","60",-79.726196,42.101898,"B",16.85,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202LEOXXX1","0202LEOXXX1_C","60",-79.5447,42.086201,NA,0.005,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0202MCA0135","0202MCA0135_DH","60",-79.325196,42.346345,"C",27.9,"8.0a Eastern Temperate Forests (8.1.3)","NYS Combined"
"0301CANXXX1","0301CANXXX1_DH","83",-77.6944413,43.1838369,NA,378,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0301GOO0167O","0301GOO0167O_DH","83",-77.285607,42.82157,"C",31.2,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0301LON0154","0301LON0154_DH","83",-77.68576,43.29287,"B",50,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0301MID0177A","0301MID0177A_DH","83",-77.285607,42.82157,"A",69.4,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0301UWB0153D","0301UWB0153D_DH","83",-77.285607,42.82157,NA,152,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
"0301UWB0190A","0301UWB0190A_DH","83",-77.285607,42.82157,NA,67.6,"8.0b Eastern Temperate Forests (8.1.10, 8.1.1)","NYS Combined"
