"LAKE_FIN","AP","LAKE_HISTORY_ID","LOCATION_HISTORY_ID","LOCATION_WATERBODY_CLASSIFICATION","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","SAMPLE_DATE","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
"AO-P815","N","1701AGA0815","1701AGA0815_US1","B/C",-72.39204716,40.879438,2021-05-11,"OW","CHLORIDE",196,"mg/L"
"AO-P815","N","1701AGA0815","1701AGA0815_US1","B/C",-72.39204716,40.879438,2021-06-02,"OW","CHLORIDE",176,"mg/L"
"AO-P815","N","1701AGA0815","1701AGA0815_US2","B/C",-72.3919879,40.87496198,2021-05-11,"OW","CHLORIDE",200,"mg/L"
"AO-P815","N","1701AGA0815","1701AGA0815_US2","B/C",-72.3919879,40.87496198,2021-06-02,"OW","CHLORIDE",179,"mg/L"
"AO-P815","N","1701AGA0815","1701AGA0815_US3","B/C",-72.39263766,40.87154858,2021-05-11,"OW","CHLORIDE",200,"mg/L"
"AO-P815","N","1701AGA0815","1701AGA0815_US3","B/C",-72.39263766,40.87154858,2021-06-02,"OW","CHLORIDE",179,"mg/L"
"BB-177-P855","N","1701LOW0855","1701LOW0855_DH","B/C",-72.91901,40.83476,2019-08-08,"OW","CHLORIDE",28.5,"mg/L"
"BB-177-P855","N","1701LOW0855","1701LOW0855_DH","B/C",-72.91901,40.83476,2019-09-11,"OW","CHLORIDE",29.4,"mg/L"
"BB-177-P855","N","1701LOW0855","1701LOW0855_DH","B/C",-72.91901,40.83476,2019-06-12,"OW","CHLORIDE",30.5,"mg/L"
"BB-177-P855","N","1701LOW0855","1701LOW0855_DH","B/C",-72.91901,40.83476,2019-07-10,"OW","CHLORIDE",29.6,"mg/L"
"C-100-5-P364","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-100-P365","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-07-19,"OW","CHLORIDE",18.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_BB_04","A",-73.667461,43.522617,2019-09-15,"OW","CHLORIDE",22.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-08-13,"BS","CHLORIDE",20.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-07-21,"OW","CHLORIDE",19.3,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-08-16,"BS","CHLORIDE",18.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_BB_04","A",-73.667461,43.522617,2019-07-23,"BS","CHLORIDE",19.5,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-08-16,"OW","CHLORIDE",19.3,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-06-18,"BS","CHLORIDE",20.5,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-07-21,"BS","CHLORIDE",19.8,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-07-16,"BS","CHLORIDE",19.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-07-19,"BS","CHLORIDE",18,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-08-13,"OW","CHLORIDE",17.8,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_BB_04","A",-73.667461,43.522617,2019-08-18,"OW","CHLORIDE",20.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_BB_04","A",-73.667461,43.522617,2019-09-15,"BS","CHLORIDE",21.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-07-16,"OW","CHLORIDE",12.3,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2020-07-05,"BS","CHLORIDE",18.2,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-09-12,"BS","CHLORIDE",19,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-09-12,"OW","CHLORIDE",20,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-06-21,"BS","CHLORIDE",17.8,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-08-19,"OW","CHLORIDE",20.2,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-09-23,"BS","CHLORIDE",19.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-06-19,"OW","CHLORIDE",20.9,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-06-18,"OW","CHLORIDE",19.5,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-06-19,"BS","CHLORIDE",16,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-09-15,"BS","CHLORIDE",20.1,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_BB_04","A",-73.667461,43.522617,2019-08-18,"BS","CHLORIDE",13.1,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_BB_04","A",-73.667461,43.522617,2019-07-23,"OW","CHLORIDE",19.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2019-08-18,"BS","CHLORIDE",18.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2020-08-08,"OW","CHLORIDE",18.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2020-09-08,"OW","CHLORIDE",18.9,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2020-07-05,"OW","CHLORIDE",18.7,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-08-19,"BS","CHLORIDE",20.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2019-07-29,"BS","CHLORIDE",18.8,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-06-23,"BS","CHLORIDE",11.5,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-09-10,"BS","CHLORIDE",22.3,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2019-09-10,"OW","CHLORIDE",20.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-08-17,"OW","CHLORIDE",18.7,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-07-20,"OW","CHLORIDE",17.4,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-08-17,"BS","CHLORIDE",18.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2020-06-21,"OW","CHLORIDE",18.3,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2020-08-08,"BS","CHLORIDE",17.9,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-09-15,"OW","CHLORIDE",20.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2020-09-08,"BS","CHLORIDE",18.6,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2019-07-29,"OW","CHLORIDE",18.9,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_DI_02","A",-73.676362,43.459052,2020-09-23,"OW","CHLORIDE",20.1,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_GB_23","A",-73.463431,43.731988,2019-08-18,"OW","CHLORIDE",19.2,"mg/L"
"C-101-P367","Y","1006GEO0367","1006GEO0367_HEART_24","A",-73.453983,43.806397,2019-07-20,"BS","CHLORIDE",17.7,"mg/L"
"C-101-P367-10-B-P370","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-10-B-P5253-2-P371","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-14-P372","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-14-P373","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-3-P369","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-37-P5359","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-38-P377","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-41-1-6-P5292","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-43-P5274","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-53-P379","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-54-P380","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-55-P5296","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-101-P367-56-P381","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
