PURPOSE,Trip,LOCATION_ID,Lake,Y_Coordinate,X_Coordinate
Probability Sampling 2021-2025,CH,0503UWB5215_DH,0503UWB5215_Unnamed Water,42.0397,-77.3479
Probability Sampling 2021-2025,BLK,0801FIF0635_DH,0801FIF0635_Fifth Creek Pond,43.8403,-75.0787
Probability Sampling 2021-2025,LH,1302UWB0044J_DH,1302UWB0044J_NA,41.227,-73.6775
Probability Sampling 2021-2025,LH,1303BRO0260_DH,1303BRO0260_Browns Pond,41.4603,-74.2126
Probability Sampling 2021-2025,BLK,0801GIB0684_DH,0801GIB0684_Gibbs Lake,43.7325,-75.0008
Probability Sampling 2021-2025,LH,1501KAN1003_DH,1501KAN1003_Lake Kanawauke,41.231,-74.1174
Probability Sampling 2021-2025,LH,1301UWB0391B_DH,1301UWB0391B_Marcy Street Pond,42.6338,-73.5602
Probability Sampling 2021-2025,LH,1302KIR0052_DH,1302KIR0052_Kirk Lake,41.3862,-73.7521
Probability Sampling 2021-2025,LH,1305UWB0372_DH,1305UWB0372_Unnamed Water,41.7224,-73.8108
Probability Sampling 2021-2025,BLK,0801SAN0436_DH,0801SAN0436_Sand Pond,43.9485,-75.1597
Probability Sampling 2021-2025,LH,1306UWB5602_DH,1306UWB5602_Unnamed Water,41.4042,-74.3509
Probability Sampling 2021-2025,LH,1308HER6486_DH,1308HER6486_Herrington Pond,42.2226,-73.4954
Probability Sampling 2021-2025,LH,1309BEA0934A_DH,1309BEA0934A_Beaver Dam Lake,42.3915,-73.8953
Probability Sampling 2021-2025,BLK,0801SEC0782B_DH,0801SEC0782B_Fulton Chain Lakes,43.7189,-74.9196
Probability Sampling 2021-2025,LH,1501LUC0982B_DH,1501LUC0982B_Lake Lucille,41.1839,-73.9976
Probability Sampling 2021-2025,LH,1306STU0453A_DH,1306STU0453A_Sturgeon Pool,41.8439,-74.0424
Probability Sampling 2021-2025,LH,1310LYO0035_DH,1310LYO0035_Lyons Pond,42.5357,-73.5801
Probability Sampling 2021-2025,BLK,0801GUL0758_DH,0801GUL0758_Gull Lakes,43.8567,-74.8203
Probability Sampling 2021-2025,LH,1302UWB0044F_DH,1302UWB0044F_Unnamed Water,41.3227,-73.7237
Probability Sampling 2021-2025,LH,1301UWB5925_DH,1301UWB5925_Unnamed Water,41.8691,-73.8929
Probability Sampling 2021-2025,BLK,0801COP0710_DH,0801COP0710_Copper Lake,43.2743,-75.1416
Probability Sampling 2021-2025,BLK,0801MOS0478_DH,0801MOS0478_Moshier Reservoir,43.8922,-75.0882
